deal_id,snapshot_dt,prin_rem,accrued_int,ead,maturity_date_final,remaining_life_of_the_quarter,term,mapped_mpd_benign,mapped_mpd_base,mapped_mpd_mild,mapped_mpd_medium,mapped_mpd_severe,applied_mpd_benign,applied_mpd_base,applied_mpd_mild,applied_mpd_medium,applied_mpd_severe,applied_lgd_benign,applied_lgd_base,applied_lgd_mild,applied_lgd_medium,applied_lgd_severe,eir,EIR_quarter,cum_life_in_quarter,discount_factor
CARDLINK:180100000000005391423210519302:FAC,2025-03-31,,,100448.56,2027-05-31,1.0,2,0.0025148629212274898,0.0026284775917903014,0.00274981614420422,0.0038764511227414866,0.004882556345400468,0.0025148629212274898,0.0026284775917903014,0.00274981614420422,0.0038764511227414866,0.004882556345400468,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,0.989010989010989,0.9850173347301631
CARDLINK:180100000000005391423210519302:FAC,2025-06-30,,,100448.56,2027-05-31,1.0,3,0.0024079946655680695,0.0025928713826437466,0.0027917876140459708,0.004488003781163097,0.005579322750902893,0.0024079946655680695,0.0025928713826437466,0.0027917876140459708,0.004488003781163097,0.005579322750902893,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,1.989010989010989,0.9700964181425218
CARDLINK:180100000000005391423210519302:FAC,2025-09-30,,,100448.56,2027-05-31,1.0,4,0.002153293853295768,0.0023634137569409353,0.002593977377993939,0.004603485190389223,0.005813357484804271,0.002153293853295768,0.0023634137569409353,0.002593977377993939,0.004603485190389223,0.005813357484804271,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,3.0,0.9552412820313029
CARDLINK:180100000000005391423210523569:FAC,2024-12-31,,,25178.1,2027-06-30,1.0,1,0.0019005142911500128,0.0019479378717450757,0.0019970457427972432,0.0025093797711595034,0.003179329201156156,0.0019005142911500128,0.0019479378717450757,0.0019970457427972432,0.0025093797711595034,0.003179329201156156,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,0.0,1.0
CARDLINK:180100000000005391423210523569:FAC,2025-03-31,,,25178.1,2027-06-30,1.0,2,0.0025148629212274898,0.0026284775917903014,0.00274981614420422,0.0038764511227414866,0.004882556345400468,0.0025148629212274898,0.0026284775917903014,0.00274981614420422,0.0038764511227414866,0.004882556345400468,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,0.989010989010989,0.9850173347301631
CARDLINK:180100000000005391423210523569:FAC,2025-06-30,,,25178.1,2027-06-30,1.0,3,0.0024079946655680695,0.0025928713826437466,0.0027917876140459708,0.004488003781163097,0.005579322750902893,0.0024079946655680695,0.0025928713826437466,0.0027917876140459708,0.004488003781163097,0.005579322750902893,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,1.989010989010989,0.9700964181425218
CARDLINK:180100000000005391423210523569:FAC,2025-09-30,,,25178.1,2027-06-30,1.0,4,0.002153293853295768,0.0023634137569409353,0.002593977377993939,0.004603485190389223,0.005813357484804271,0.002153293853295768,0.0023634137569409353,0.002593977377993939,0.004603485190389223,0.005813357484804271,0.25,0.55,0.73,0.82,0.91,0.06295752,0.015380859,3.0,0.9552412820313029
CARDLINK:180100000000005391423210523700,2024-12-31,210.1,0.78,210.88,2027-06-30,1.0,1,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3,0.06778991,0.0,1.0
CARDLINK:180100000000005391423210523700,2025-03-31,210.1,,225.5959177851,2027-06-30,1.0,2,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3,0.06778991,0.989010989010989,0.9371890750192179
CARDLINK:180100000000005391423210523700,2025-06-30,210.1,,240.8457751215,2027-06-30,1.0,3,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3,0.06778991,1.989010989010989,0.8776905122351228
