region_brch,product_type_brch,collateral_agreement_id,collateral_agreement_type,collateral_amount,collateral_currency,facility_nr,as_of_dt,multiply_divide_ind,rate,customer_nr,entity,maturity_date,rec_ref_dt,source_system,start_date,from_currency,to_currency,lcy_to_hkd,deal_dt,collateral_amount_hke,Parameter name,description,recovery_time,haircut,forward_adjustment_factor,collateral_allocation_priority,collateral_secured_rank_for_ead_allocation,remark,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount,remaining_base_amt
hk,PLEDGE_COLLATERAL,CLS:180000000000000003109933:1:0,G007,99999999999.0,HKD,CLS:1000078199,2024-12-31,M,1.0,018:RM:1800000000000000000001248632,18,2043-11-07,2024-12-31,NX,2018-11-07,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,1906354.8,9999999999.899998,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003109933:2:1,P001,3585824.0,HKD,CLS:1000078199,2024-12-31,M,1.0,018:RM:1800000000000000000001248632,18,2043-11-07,2024-12-31,NX,2018-11-07,HKD,HKD,1.0,,3585824.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,2151494.4,1906354.8,2151494.4,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000001044616:1:1,P001,3738398.0,HKD,CLS:0001676071,2024-12-31,M,1.0,018:RM:1800000000000000000001188010,18,2037-03-15,2024-12-31,NX,2017-03-15,HKD,HKD,1.0,,3738398.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,2243038.8,1156435.96,2243038.8,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000001048582:1:1,P005,1982069.0,HKD,CLS:0001721131,2024-12-31,M,1.0,018:RM:1800000000000000000001242435,18,2033-08-20,2024-12-31,NX,2018-08-20,HKD,HKD,1.0,,1982069.0,34,STANDALONE CAR PARK,0.5,0.4,HK OFFICE PPI,3,3,,1189241.4,44875.04,1189241.4,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000001499855:1:1,P001,9229661.0,HKD,CLS:0001539423,2024-12-31,M,1.0,018:RM:1800000000000000000000940905,18,2025-01-31,2024-12-31,NX,2023-06-12,HKD,HKD,1.0,,9229661.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,5537796.6,1000000.0,5537796.6,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000001499856:4:0,G007,99999999999.0,HKD,CLS:0001539423,2024-12-31,M,1.0,018:RM:1800000000000000000000934971,18,2025-01-31,2024-12-31,NX,2023-06-12,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,1000000.0,9999999999.899998,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000001499856:1:0,G007,99999999999.0,HKD,CLS:0001539423,2024-12-31,M,1.0,018:RM:1800000000000000000000934971,18,2025-01-31,2024-12-31,NX,2023-06-12,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,1000000.0,9999999999.899998,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003113132:5:1,P001,3687140.0,HKD,CLS:1000097589,2024-12-31,M,1.0,018:RM:1800000000000000000001034734,18,2038-11-19,2024-12-31,NX,2018-11-19,HKD,HKD,1.0,,3687140.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,2212284.0,1083173.58,2212284.0,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163874:3:2,P003,3242333.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270225,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3242333.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1945399.7999999998,4200000.0,1945399.7999999998,2254600.2
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163874:1:2,P003,3029022.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270225,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3029022.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1817413.2,4200000.0,1817413.2,2382586.8
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163874:5:2,P003,3327658.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270225,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3327658.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1996594.7999999998,4200000.0,1996594.7999999998,2203405.2
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163874:2:2,P003,3242333.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270225,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3242333.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1945399.7999999998,4200000.0,1945399.7999999998,2254600.2
