timestamp,facility_nr,collateral_agreement_type,collateral_agreement_id,collateral_amount_hke,haircut,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount
20251124_180702,CLS:1000646356,P001,CLS:180000000000000003286038:2:1,5760396.0,0.4,3456237.6,860195.36,3456237.6
20251124_180702,CLS:1000291423,G007,CLS:180000000000000003164938:2:0,99999999999.0,0.9,9999999999.899998,1950000.0,9999999999.899998
20251124_180702,CLS:1000291423,P001,CLS:180000000000000003164938:1:1,36136645.0,0.4,21681987.0,1950000.0,21681987.0
20251124_180702,CLS:1000291423,P001,CLS:180000000000000003164938:5:1,9016093.0,0.4,5409655.8,1950000.0,5409655.8
20251124_180702,CLS:1000291423,P003,CLS:180000000000000003164938:7:1,3929277.0,0.4,2357566.1999999997,1950000.0,2357566.1999999997
20251124_180702,CLS:1000291423,G007,CLS:180000000000000003164938:4:0,99999999999.0,0.9,9999999999.899998,1950000.0,9999999999.899998
20251124_180702,CLS:1000291423,P003,CLS:180000000000000003164938:9:1,4511726.0,0.4,2707035.6,1950000.0,2707035.6
20251124_180702,CLS:1000291423,P003,CLS:180000000000000003164938:8:1,4511726.0,0.4,2707035.6,1950000.0,2707035.6
20251124_180702,CLS:1000291423,P001,CLS:180000000000000003164938:6:1,17887639.0,0.4,10732583.4,1950000.0,10732583.4
20251124_180702,CLS:1000482822,P002,CLS:180000000000000001044946:3:1,990726.0,0.4,594435.6,312335.0,594435.6
20251124_180702,CLS:0001397321,E001,CLS:180000000000000001252401:1:0,9200000.0,0.4,5520000.0,1650015.0,5520000.0
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:8:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:9:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,P002,CLS:180000000000000001499921:20:1,1900000.0,0.4,1140000.0,1650015.0,1140000.0
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:10:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,P002,CLS:180000000000000001499921:17:1,7050000.0,0.4,4230000.0,1650015.0,4230000.0
20251124_180702,CLS:0001397321,P002,CLS:180000000000000001499921:19:1,1800000.0,0.4,1080000.0,1650015.0,1080000.0
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:6:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:7:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:2:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,P002,CLS:180000000000000001499921:5:1,6500000.0,0.4,3900000.0,1650015.0,3900000.0
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:13:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,G007,CLS:180000000000000001499921:11:0,99999999999.0,0.9,9999999999.899998,1650015.0,9999999999.899998
20251124_180702,CLS:0001397321,P002,CLS:180000000000000001499921:18:1,7050000.0,0.4,4230000.0,1650015.0,4230000.0
20251124_180702,CLS:0001397321,T001,CLS:180000000000000001499921:27:0,7311915.0,0.0,7311915.0,1650015.0,7311915.0
20251124_180702,CLS:1000843672,G007,CLS:180000000000000003117299:4:0,99999999999.0,0.9,9999999999.899998,7000000.0,9999999999.899998
20251124_180702,CLS:1000843672,P002,CLS:180000000000000003117299:1:3,91315277.0,0.4,54789166.199999996,7000000.0,54789166.199999996
20251124_180702,CLS:1000843672,P002,CLS:180000000000000003117299:2:3,80572303.0,0.4,48343381.8,7000000.0,48343381.8
20251124_180702,CLS:0001477530,P001,CLS:180000000000000001030602:1:1,1236819.0,0.4,742091.4,44756.3,742091.4
