REGION_BRCH,PRODUCT_TYPE_BRCH,COLLATERAL_AGREEMENT_ID,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,FACILITY_NR,AS_OF_DT,MULTIPLY_DIVIDE_IND,RATE,CUSTOMER_NR,ENTITY,MATURITY_DATE,REC_REF_DT,SOURCE_SYSTEM,START_DATE,FROM_CURRENCY,TO_CURRENCY,LCY_TO_HKD,DEAL_DT
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:7:0,G007,470000000,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:3:1,P002,64021815,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:14:1,P002,13377692,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:13:1,P004,1394726,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003287074:1:1,P001,3322363,HKD,CLS:1000669776,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001335285,18,25AUG2037:00:00:00,31DEC2024:00:00:00,NX,25AUG2022:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303937:2:0,O010,184300,USD,CLS:1000678198,31DEC2024:00:00:00,M,7.76295054,018:RM:1800000000000000000001382061,18,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,19SEP2024:00:00:00,USD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003287156:1:1,P003,2047520,HKD,CLS:1000596687,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001330475,18,11JAN2041:00:00:00,31DEC2024:00:00:00,NX,11JAN2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293896:1:0,G007,99999999999,HKD,CLS:1000297514,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001363613,18,28FEB2025:00:00:00,31DEC2024:00:00:00,NX,12JUN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293896:1:0,G007,99999999999,HKD,CLS:1000614248,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001363613,18,28FEB2025:00:00:00,31DEC2024:00:00:00,NX,12JUN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300586:1:1,P001,6734554,HKD,CLS:1000624523,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001356864,18,02AUG2051:00:00:00,31DEC2024:00:00:00,NX,02AUG2021:00:00:00,HKD,HKD,1,
