REGION_BRCH,PRODUCT_TYPE_BRCH,AS_OF_DT,ENTITY,SOURCE_SYSTEM,ACCT_ID,SCHED_ID,SCHED_START_DT,SCHED_END_DT,FIRST_DUE_DT,NOF_PMT,INSTL_FLAT_AMT,PMT_FREQ,PMT_INCR,PMT_TYP_CD,PMT_DAY,SKP_PMT_MTH,REC_REF_DT
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016308741,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016308741,B02A,04JAN2021:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,11401000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016297049,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016297049,B01A,29JAN2025:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016297049,B02A,18NOV2020:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,2000000.0,M,1,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016318399,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016318399,B01A,29JAN2025:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016318399,B02A,09FEB2021:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,3000000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016316548,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016316548,B01A,29JAN2025:00:00:00,30APR2025:00:00:00,30APR2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016316548,B02A,01FEB2021:00:00:00,30APR2025:00:00:00,30APR2025:00:00:00,1,1000000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016311678,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016311678,B01A,29JAN2025:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016311678,B02A,14JAN2021:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,4000000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016335595,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016335595,B01A,29JAN2025:00:00:00,28NOV2025:00:00:00,28NOV2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016335595,B02A,28APR2021:00:00:00,28NOV2025:00:00:00,28NOV2025:00:00:00,1,1710000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016350721,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016350721,B01A,29JAN2025:00:00:00,30JUN2025:00:00:00,30JUN2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016350721,B02A,21JUN2021:00:00:00,30JUN2025:00:00:00,30JUN2025:00:00:00,1,2000000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016351175,B01A,28DEC2024:00:00:00,27MAR2025:00:00:00,27MAR2025:00:00:00,1,0.0,M,1,I,27,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016351175,B01A,28MAR2025:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,0.0,M,3,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016351175,B02A,22JUN2021:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,8000000.0,M,3,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016346945,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016346945,B01A,29JAN2025:00:00:00,31DEC2025:00:00:00,31DEC2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016346945,B02A,07JUN2021:00:00:00,31DEC2025:00:00:00,31DEC2025:00:00:00,1,400000.0,M,1,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016363165,B01A,15NOV2024:00:00:00,14FEB2025:00:00:00,14FEB2025:00:00:00,1,0.0,M,1,I,14,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016363165,B01A,15FEB2025:00:00:00,30JUN2025:00:00:00,30JUN2025:00:00:00,1,0.0,M,3,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016363165,B02A,06AUG2021:00:00:00,30JUN2025:00:00:00,30JUN2025:00:00:00,1,200000.0,M,3,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016372474,B01A,21DEC2024:00:00:00,20MAR2025:00:00:00,20MAR2025:00:00:00,1,0.0,M,1,I,20,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016372474,B01A,21MAR2025:00:00:00,31JUL2025:00:00:00,31JUL2025:00:00:00,1,0.0,M,3,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016368361,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016368361,B01A,29JAN2025:00:00:00,30APR2025:00:00:00,30APR2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016368361,B02A,31AUG2021:00:00:00,30APR2025:00:00:00,30APR2025:00:00:00,1,9000000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016372474,B02A,17SEP2021:00:00:00,31JUL2025:00:00:00,31JUL2025:00:00:00,1,5570000.0,M,3,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016371168,B01A,17SEP2024:00:00:00,17MAR2025:00:00:00,17MAR2025:00:00:00,1,0.0,M,1,I,17,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016371168,B01A,18MAR2025:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,0.0,M,6,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016371168,B02A,13SEP2021:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,2000000.0,M,6,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016395954,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
