COLLATERAL_AGREEMENT_ID,FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,AS_OF_DT,COMMIT_INDICATOR,CCF,DRAWN_AMOUNT,UNDRAWN_AMOUNT
CLS:180000000000000001017675:1:1,CLS:0001379844,P001,36454556,HKD,31DEC2024:00:00:00,Y,20.0,5429367.35,0.0
CLS:180000000000000001017675:2:0,CLS:0001379844,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,5429367.35,0.0
CLS:180000000000000001017684:3:1,CLS:0001376162,P001,36623266,HKD,31DEC2024:00:00:00,Y,20.0,2116772.73,0.0
CLS:180000000000000001017684:4:0,CLS:0001376162,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,2116772.73,0.0
CLS:180000000000000001017684:5:1,CLS:0001432633,P001,106513425,HKD,31DEC2024:00:00:00,Y,20.0,6681882.08,0.0
CLS:180000000000000001017684:6:0,CLS:0001432633,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,6681882.08,0.0
CLS:180000000000000001017703:1:1,CLS:0001374874,P001,12750486,HKD,31DEC2024:00:00:00,Y,20.0,1701411.32,0.0
CLS:180000000000000001017726:1:1,CLS:0001375021,P001,60210632,HKD,31DEC2024:00:00:00,Y,20.0,7279759.08,0.0
CLS:180000000000000001017726:2:0,CLS:0001375021,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,7279759.08,0.0
CLS:180000000000000001017728:1:1,CLS:0001377228,P001,4722402,HKD,31DEC2024:00:00:00,Y,20.0,191472.91,0.0
CLS:180000000000000001017729:1:1,CLS:0001374312,P001,2762605,HKD,31DEC2024:00:00:00,Y,20.0,152630.06,0.0
CLS:180000000000000001017739:1:1,CLS:0001372350,P001,5407150,HKD,31DEC2024:00:00:00,Y,20.0,535782.94,0.0
CLS:180000000000000001017758:1:1,CLS:0001375463,P001,5690495,HKD,31DEC2024:00:00:00,Y,20.0,567350.25,0.0
CLS:180000000000000001017758:2:1,CLS:0001375462,P001,4651566,HKD,31DEC2024:00:00:00,Y,20.0,463938.21,0.0
CLS:180000000000000001017793:1:1,CLS:0001373939,P002,2895582,HKD,31DEC2024:00:00:00,Y,20.0,465162.82,0.0
CLS:180000000000000001017888:1:1,CLS:0001377574,P001,24792613,HKD,31DEC2024:00:00:00,Y,20.0,1442929.7,0.0
CLS:180000000000000001017905:1:1,CLS:0001377712,P001,37543100,HKD,31DEC2024:00:00:00,Y,20.0,1845360.32,0.0
CLS:180000000000000001017942:2:1,CLS:0001425800,P001,4688154,HKD,31DEC2024:00:00:00,Y,20.0,400948.83,0.0
CLS:180000000000000001017959:1:1,CLS:0001373957,P001,15759645,HKD,31DEC2024:00:00:00,Y,20.0,1379422.52,0.0
CLS:180000000000000001018010:1:1,CLS:0001375020,P001,72724999,HKD,31DEC2024:00:00:00,Y,20.0,3782772.41,0.0
CLS:180000000000000001018010:2:0,CLS:0001375020,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,3782772.41,0.0
CLS:180000000000000001018033:1:1,CLS:0001375355,P001,3569609,HKD,31DEC2024:00:00:00,Y,20.0,192068.53,0.0
CLS:180000000000000001018037:1:1,CLS:0001376389,P001,4612677,HKD,31DEC2024:00:00:00,Y,20.0,377312.48,0.0
CLS:180000000000000001018058:1:1,CLS:0001425682,P001,10139100,HKD,31DEC2024:00:00:00,Y,20.0,232863.43,0.0
CLS:180000000000000001018058:1:1,CLS:0001376792,P001,10139100,HKD,31DEC2024:00:00:00,Y,20.0,1594746.28,0.0
CLS:180000000000000001018058:2:0,CLS:0001425682,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,232863.43,0.0
CLS:180000000000000001018058:2:0,CLS:0001376792,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,1594746.28,0.0
CLS:180000000000000001018068:1:1,CLS:0001374878,P003,4238831,HKD,31DEC2024:00:00:00,Y,20.0,74393.96,0.0
CLS:180000000000000001018068:2:0,CLS:0001377253,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,77052.02,0.0
CLS:180000000000000001018068:2:0,CLS:0001376992,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,76802.75,0.0
