FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,DRAWN_AMOUNT,AS_OF_DT,UNDRAWN_AMOUNT,COLLATERAL_AGREEMENT_ID,COLLATERAL_CURRENCY,COLLATERAL_VALUE_POST_HAIRCUT,EAD_POST_CCF,ALLOCATED_COLLATERAL_ON,ALLOCATED_COLLATERAL_OFF,ON_OFF_IND,CUR_BAL,DEAL_ID,CUR_RT,FAC_CUR_BAL,PORTION,DEAL_ALLOCATED_COLLATERAL_ON,DEAL_ALLOCATED_COLLATERAL_OFF
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,47026.8,IMEX:894333135280:001:Finance:INDI::USD,6.69167,1448038.6,0.03247620609008627,0.0053856712134994,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,125179.02,IMEX:894333135814:001:Finance:INDI::AUD,6.13,1448038.6,0.08644729498232989,0.014335932798916057,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,29129.02,IMEX:894333142520:001:Finance:INDI::USD,6.70512,1448038.6,0.020116190272828363,0.0033359557633402294,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,48365.89,IMEX:894333142922:001:Finance:INDI::EUR,5.122,1448038.6,0.03340096734990351,0.00553902841546264,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,132656.02,IMEX:894333143823:001:Finance:INDI::EUR,5.109,1448038.6,0.09161083136872179,0.015192224608338238,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,20418.48,IMEX:894333144617:001:Finance:INDI::EUR,5.04367,1448038.6,0.014100784329920485,0.0023383947017320593,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,225288.37,IMEX:894333145304:001:Finance:INDI::USD,6.70924,1448038.6,0.1555817434700981,0.02580080058701,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,64018.59,IMEX:894333146447:001:Finance:INDI::USD,6.62521,1448038.6,0.04421055488437946,0.007331629566371101,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,58654.82,IMEX:894333150896:001:Finance:INDI::EUR,4.94367,1448038.6,0.04050639257820889,0.006717352139779633,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,47658.09,IMEX:894333152108:001:Finance:INDI::USD,6.54468,1448038.6,0.032912168225349786,0.00545796872003546,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,87265.98,IMEX:894333152572:001:Finance:INDI::USD,6.59417,1448038.6,0.06026495426295956,0.00999400079111941,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,337419.29,IMEX:894333153214:001:Finance:INDI::USD,6.57844,1448038.6,0.23301815987501986,0.03864242000375118,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,95333.76,IMEX:894333154598:001:Finance:INDI::USD,6.54545,1448038.6,0.06583647701104099,0.010917950762260254,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,31909.63,IMEX:894333154829:001:Finance:INDI::USD,6.54545,1448038.6,0.022036449857068728,0.0036544008038909065,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,33774.61,IMEX:894333154847:001:Finance:INDI::EUR,4.938,1448038.6,0.02332438513724703,0.0038679847411299292,0.0
CLS:0001405104,O009,174460021.82,31DEC2024:00:00:00,187539978.18,CLS:180000000000000000101793:1:0,HKD,4,305738006.546,0.16583437112574048,0.12478733988783113,N,63940.23,IMEX:894333156774:001:Finance:INDI::USD,6.15406,1448038.6,0.044156440304837175,0.007322655509103973,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,47026.8,IMEX:894333135280:001:Finance:INDI::USD,6.69167,1448038.6,0.03247620609008627,63375.504031896766,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,125179.02,IMEX:894333135814:001:Finance:INDI::AUD,6.13,1448038.6,0.08644729498232989,168697.07245057897,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,29129.02,IMEX:894333142520:001:Finance:INDI::USD,6.70512,1448038.6,0.020116190272828363,39255.62284601975,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,48365.89,IMEX:894333142922:001:Finance:INDI::EUR,5.122,1448038.6,0.03340096734990351,65180.12402930404,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,132656.02,IMEX:894333143823:001:Finance:INDI::EUR,5.109,1448038.6,0.09161083136872179,178773.42558637582,0.0
